ds,MSFT_real,MSFT_forecast,AAPL_real,AAPL_forecast,AMZN_real,AMZN_forecast,GOOGL_real,GOOGL_forecast,META_real,META_forecast
2022-01-03,327.5301513671875,304.29048079480816,179.4811248779297,169.69024873360095,170.4044952392578,159.9090567578786,144.82528686523438,141.5101019087063,337.84576416015625,327.5245789749444
2022-01-04,321.9139709472656,303.3432747371936,177.2032012939453,169.3034559774326,167.52200317382812,159.30128914343544,144.2339630126953,141.34344305032428,335.8398742675781,324.9059125881806
2022-01-05,309.5563049316406,303.1566694721437,172.4896240234375,169.03381598129732,164.35699462890625,159.1764791740939,137.61705017089844,141.02693472452881,323.5052490234375,322.5862316610659
2022-01-06,307.1101989746094,302.4468128524984,169.61021423339844,168.59327329740645,163.25399780273438,158.91767698805327,137.58958435058594,140.7398890127218,331.7781982421875,319.9139119633428
2022-01-07,307.2667541503906,302.229183596363,169.77783203125,168.77131640436534,162.5540008544922,158.84118727660572,136.85992431640625,140.68007856034262,331.1095886230469,318.1528601343204
2022-01-10,307.4917907714844,300.7945583385242,169.79754638671875,168.60205507977338,161.48599243164062,158.2207178584925,138.51052856445312,140.0867201461602,327.397216796875,310.529874965824
2022-01-11,308.1865539550781,299.94411338331406,172.64743041992188,168.38397477463073,165.36199951171875,157.32638690496066,139.5758056640625,139.88875464275478,333.6842956542969,308.1549797409052
2022-01-12,311.4055480957031,299.8862456266056,173.09115600585938,168.2820660918735,165.20700073242188,156.93630224401136,141.2683563232422,139.57243904869267,332.5765686035156,306.1442476299664
2022-01-13,298.2259826660156,299.34106443046664,169.79754638671875,168.00833980262257,161.21400451660156,156.4434672612173,138.42813110351562,139.31930521843154,325.81048583984375,303.8433125542137
2022-01-14,303.5096740722656,299.32686509538075,170.6653289794922,168.3524190547461,162.13800048828125,156.17325556671236,139.3206024169922,139.32818735907375,331.2193603515625,302.5111815641354
2022-01-18,296.1224365234375,298.252705712862,167.44078063964844,168.6236522521234,158.91749572753906,154.42300988842658,135.84210205078125,139.13842882540132,317.49755859375,294.64065093018655
2022-01-19,296.78778076171875,298.58672986050755,163.92034912109375,168.68469785391423,156.2989959716797,154.12900184132468,134.96160888671875,139.03869320854244,318.9346008300781,293.2108766961048
2022-01-20,295.0950927734375,298.46002387780396,162.2242889404297,168.57250791502892,151.66749572753906,153.79592585551055,133.15467834472656,139.01871396796415,315.91082763671875,291.48564447859707
